id_all,B0020_nFK_prozent,B2040_nFK_prozent,B4060_nFK_prozent,tage_seit_aussaat,Tmean_gradC,Tmean_th9_25_gradC,Tmin_gradC,Tmax_gradC,relLuftfeuchte_mean_prozent,relLuftfeuchte_min_prozent,relLuftfeuchte_max_prozent,globalstrahlung_Wh_m2,windgeschwindigkeit_m_s,tageslicht_h,tageslicht_h_th9,Tmean_gradC_sum,Tmean_th9_25_gradC_sum,globalstrahlung_Wh_m2_sum,niederschlag_mm_sum,tageslicht_h_sum,tageslicht_h_th9_sum,Ton_prozent,Schluff_prozent,Sand_prozent,C_org_prozent,ibi,irmi,daily_rain,daily_irrigation
1,83,93,98,11,8.08,0,2.6,13.2,58.52,36,86.4,4816.3,1.32,13.77,0,70.23,9.67,44688.12,10,161.27,13.35,9.689,37.94,52.367,1.2,0.177506973,10.63266553,10,0
1,82,93,97,12,8.6,0,7.5,12,73.06,56.7,89.8,1204.15,0.81,13.83,0,78.84,9.67,45892.28,12.2,175.1,13.35,9.689,37.94,52.367,1.2,0.177506973,10.63266553,2.2,0
1,83,92,97,13,10.03,10.03,5.8,14.7,75.82,52.7,94.7,2698.85,0.63,13.89,13.89,88.87,19.7,48591.12,12.6,188.99,27.24,9.689,37.94,52.367,1.2,0.21832055,10.63266553,0.4,0.76
1,82,92,97,14,10.64,10.64,1.5,18.5,67.4,36.7,94.9,6692.2,0.82,13.95,13.95,99.51,30.34,55283.32,12.6,202.94,41.19,9.689,37.94,52.367,1.2,0.268115893,10.63266553,0,5.3
1,81,91,97,15,12.06,12.06,3.9,20,63.79,37,87.5,6055.25,1.23,14.01,14.01,111.57,42.41,61338.57,13.4,216.95,55.2,9.689,37.94,52.367,1.2,0.328596852,10.63266553,0.8,0
1,79,91,96,16,10.05,10.05,4,15.5,53.62,28.1,77.6,6844.95,1.98,14.06,14.06,121.62,52.46,68183.52,13.4,231.01,69.26,9.689,37.94,52.367,1.2,0.401583081,10.63266553,0,0
1,78,90,96,17,10.31,10.31,1.5,17.6,53.17,29.6,84.4,7092.6,1.17,14.12,14.12,131.94,62.77,75276.12,13.4,245.13,83.38,9.689,37.94,52.367,1.2,0.489095645,10.63266553,0,4.65
1,87.74,92.89,91.65,18,11.3,11.3,3.2,18.4,54.17,32.9,81.2,6938.32,1.23,14.18,14.18,143.24,74.07,82214.45,13.4,259.31,97.56,9.689,37.94,52.367,1.2,0.593115946,10.63266553,0,0
1,88.82,93.05,91.55,19,10.67,10.67,4.8,16.6,48.3,27.2,67.8,7244.73,1.57,14.24,14.24,153.91,84.74,89459.18,13.4,273.55,111.8,9.689,37.94,52.367,1.2,0.715458232,10.63266553,0,0
1,88.06,93.45,91.44,20,9.76,9.76,1.9,16.1,43.16,27.7,73.9,7388.58,1.75,14.29,14.29,163.67,94.51,96847.75,13.4,287.84,126.09,9.689,37.94,52.367,1.2,0.857435925,10.63266553,0,5.64
1,87.88,93.14,91.15,21,10.82,10.82,2.7,17.6,40.61,25.4,59.7,7213.8,1.52,14.35,14.35,174.49,105.32,104061.55,13.4,302.19,140.44,9.689,37.94,52.367,1.2,1.019874403,10.63266553,0,0
1,89.23,93.11,90.99,22,11.83,11.83,1.9,21.9,58.81,29.1,93.9,6058.32,1.09,14.41,14.41,186.32,117.16,110119.88,20.1,316.6,154.85,9.689,37.94,52.367,1.2,1.202550446,10.63266553,6.7,0
1,103.34,93.63,90.61,23,11.42,11.42,5.6,17.2,70.19,35.9,95.8,5081.62,2.2,14.46,14.46,197.74,128.58,115201.5,24,331.06,169.31,9.689,37.94,52.367,1.2,1.403861393,10.63266553,3.9,0
1,109.99,95.96,90.43,24,7.62,0,0.8,12,68.89,51.8,91.4,3382.18,0.89,14.52,0,205.36,128.58,118583.68,24,345.58,169.31,9.689,37.94,52.367,1.2,1.24,10.97,0,0
1,109.99,95.96,90.43,24,7.62,0,0.8,12,68.89,51.8,91.4,3382.18,0.89,14.52,0,205.36,128.58,118583.68,24,345.58,169.31,9.689,37.94,52.367,1.2,1.24,10.97,0,0
1,104.59,98.65,90.68,25,10.02,10.02,2.8,14.8,61.07,37.9,89.8,4033.68,1.44,14.57,14.57,215.38,138.59,122617.35,24,360.15,183.88,9.689,37.94,52.367,1.2,1.408,11.578,0,0
1,100.08,99.17,90.58,26,9.27,9.27,3.3,13.4,55.6,37.7,76,5607.25,2.7,14.63,14.63,224.65,147.86,128224.6,24,374.78,198.51,9.689,37.94,52.367,1.2,1.576,12.186,0,0
1,96.1,98.81,90.54,27,8.34,0,-0.2,14.7,60.97,37.2,90.8,4732.32,1.1,14.68,0,232.99,147.86,132956.92,24,389.46,198.51,9.689,37.94,52.367,1.2,1.744,12.794,0,0
1,91.58,97.69,90.59,28,9.79,9.79,4.8,14,67.73,47.4,83,2193.3,2.94,14.73,14.73,242.78,157.65,135150.22,24.1,404.19,213.24,9.689,37.94,52.367,1.2,1.912,13.402,0.1,5.7
1,89.91,94.95,90.15,29,7.31,0,3.4,12.2,72.19,45.5,89.8,4149.88,2.23,14.79,0,250.09,157.65,139300.1,25.7,418.98,213.24,9.689,37.94,52.367,1.2,2.08,14.01,1.6,0
1,90.87,93.81,90.06,30,6.86,0,2,11.9,81.79,57,93.5,2475.72,1.11,14.84,0,256.94,157.65,141775.83,29.4,433.82,213.24,9.689,37.94,52.367,1.2,2.248,14.618,3.7,0
